Hospital,City,State,deathCause,deathRate
ST JOSEPH MEMORIAL HOSPITAL,MURPHYSBORO,IL,pneumonia,13
MERCY HARVARD HOSPITAL,HARVARD,IL,heart attack,
MERCY HARVARD HOSPITAL,HARVARD,IL,heart failure,13.6
MERCY HARVARD HOSPITAL,HARVARD,IL,pneumonia,13.5
ST JOSEPH'S HOSPITAL,HIGHLAND,IL,heart attack,
ST JOSEPH'S HOSPITAL,HIGHLAND,IL,heart failure,11.8
ST JOSEPH'S HOSPITAL,HIGHLAND,IL,pneumonia,12.8
PERRY MEMORIAL HOSPITAL,PRINCETON,IL,heart attack,14.8
PERRY MEMORIAL HOSPITAL,PRINCETON,IL,heart failure,13.7
PERRY MEMORIAL HOSPITAL,PRINCETON,IL,pneumonia,16.9
MEMORIAL HOSPITAL,CHESTER,IL,heart attack,
MEMORIAL HOSPITAL,CHESTER,IL,heart failure,14.1
MEMORIAL HOSPITAL,CHESTER,IL,pneumonia,12.1
TAYLORVILLE MEMORIAL HOSPITAL,TAYLORVILLE,IL,heart attack,14.9
TAYLORVILLE MEMORIAL HOSPITAL,TAYLORVILLE,IL,heart failure,9.6
TAYLORVILLE MEMORIAL HOSPITAL,TAYLORVILLE,IL,pneumonia,10.3
VALLEY WEST COMMUNITY HOSPITAL,SANDWICH,IL,heart attack,
VALLEY WEST COMMUNITY HOSPITAL,SANDWICH,IL,heart failure,15.4
VALLEY WEST COMMUNITY HOSPITAL,SANDWICH,IL,pneumonia,14.5
PANA COMMUNITY HOSPITAL,PANA,IL,heart attack,
PANA COMMUNITY HOSPITAL,PANA,IL,heart failure,11.1
PANA COMMUNITY HOSPITAL,PANA,IL,pneumonia,11.4
UNION COUNTY HOSPITAL,ANNA,IL,heart attack,
UNION COUNTY HOSPITAL,ANNA,IL,heart failure,13.2
UNION COUNTY HOSPITAL,ANNA,IL,pneumonia,9.3
CRAWFORD MEMORIAL HOSPITAL,ROBINSON,IL,heart attack,16.9
CRAWFORD MEMORIAL HOSPITAL,ROBINSON,IL,heart failure,15.4
CRAWFORD MEMORIAL HOSPITAL,ROBINSON,IL,pneumonia,11.7
LAWRENCE COUNTY MEMORIAL HOSPITAL,LAWRENCEVILLE,IL,heart attack,
LAWRENCE COUNTY MEMORIAL HOSPITAL,LAWRENCEVILLE,IL,heart failure,12.5
LAWRENCE COUNTY MEMORIAL HOSPITAL,LAWRENCEVILLE,IL,pneumonia,14
SALEM TOWNSHIP HOSPITAL,SALEM,IL,heart attack,
SALEM TOWNSHIP HOSPITAL,SALEM,IL,heart failure,12.2
SALEM TOWNSHIP HOSPITAL,SALEM,IL,pneumonia,15.8
FAYETTE COUNTY HOSPITAL,VANDALIA,IL,heart attack,
FAYETTE COUNTY HOSPITAL,VANDALIA,IL,heart failure,9.3
FAYETTE COUNTY HOSPITAL,VANDALIA,IL,pneumonia,10.1
CARLINVILLE AREA HOSPITAL,CARLINVILLE,IL,heart attack,
CARLINVILLE AREA HOSPITAL,CARLINVILLE,IL,heart failure,12.6
CARLINVILLE AREA HOSPITAL,CARLINVILLE,IL,pneumonia,13.3
RED BUD REGIONAL HOSPITAL,RED BUD,IL,heart attack,
RED BUD REGIONAL HOSPITAL,RED BUD,IL,heart failure,10.6
RED BUD REGIONAL HOSPITAL,RED BUD,IL,pneumonia,14.6
SPARTA COMMUNITY HOSPITAL,SPARTA,IL,heart attack,
SPARTA COMMUNITY HOSPITAL,SPARTA,IL,heart failure,16.1
SPARTA COMMUNITY HOSPITAL,SPARTA,IL,pneumonia,13.2
ST FRANCIS HOSPITAL,LITCHFIELD,IL,heart attack,16.5
ST FRANCIS HOSPITAL,LITCHFIELD,IL,heart failure,14.7
ST FRANCIS HOSPITAL,LITCHFIELD,IL,pneumonia,16.2
CLAY COUNTY HOSPITAL,FLORA,IL,heart attack,
CLAY COUNTY HOSPITAL,FLORA,IL,heart failure,12
CLAY COUNTY HOSPITAL,FLORA,IL,pneumonia,12.6
JOHNSON MEMORIAL HOSPITAL,FRANKLIN,IN,heart attack,15
JOHNSON MEMORIAL HOSPITAL,FRANKLIN,IN,heart failure,14.7
JOHNSON MEMORIAL HOSPITAL,FRANKLIN,IN,pneumonia,11.8
METHODIST HOSPITALS INC,GARY,IN,heart attack,14.3
METHODIST HOSPITALS INC,GARY,IN,heart failure,9
METHODIST HOSPITALS INC,GARY,IN,pneumonia,10.8
FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL,LAFAYETTE,IN,heart attack,15.4
FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL,LAFAYETTE,IN,heart failure,12.1
FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL,LAFAYETTE,IN,pneumonia,12
FRANCISCAN ST MARGARET HEALTH - HAMMOND,HAMMOND,IN,heart attack,14.6
FRANCISCAN ST MARGARET HEALTH - HAMMOND,HAMMOND,IN,heart failure,9.5
FRANCISCAN ST MARGARET HEALTH - HAMMOND,HAMMOND,IN,pneumonia,10
HENDRICKS REGIONAL HEALTH,DANVILLE,IN,heart attack,14
HENDRICKS REGIONAL HEALTH,DANVILLE,IN,heart failure,12.3
HENDRICKS REGIONAL HEALTH,DANVILLE,IN,pneumonia,11.8
INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL,LA PORTE,IN,heart attack,17.9
INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL,LA PORTE,IN,heart failure,16.3
INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL,LA PORTE,IN,pneumonia,16.6
HOWARD REGIONAL HEALTH SYSTEM,KOKOMO,IN,heart attack,16.4
HOWARD REGIONAL HEALTH SYSTEM,KOKOMO,IN,heart failure,9.9
HOWARD REGIONAL HEALTH SYSTEM,KOKOMO,IN,pneumonia,9.8
ST CATHERINE HOSPITAL INC,EAST CHICAGO,IN,heart attack,15.2
ST CATHERINE HOSPITAL INC,EAST CHICAGO,IN,heart failure,7.6
ST CATHERINE HOSPITAL INC,EAST CHICAGO,IN,pneumonia,10.3
CLARK MEMORIAL HOSPITAL,JEFFERSONVILLE,IN,heart attack,16.1
CLARK MEMORIAL HOSPITAL,JEFFERSONVILLE,IN,heart failure,9.9
CLARK MEMORIAL HOSPITAL,JEFFERSONVILLE,IN,pneumonia,10.1
ST JOSEPH HOSPITAL & HEALTH CENTER INC,KOKOMO,IN,heart attack,16
ST JOSEPH HOSPITAL & HEALTH CENTER INC,KOKOMO,IN,heart failure,13
ST JOSEPH HOSPITAL & HEALTH CENTER INC,KOKOMO,IN,pneumonia,15.5
MARION GENERAL HOSPITAL,MARION,IN,heart attack,18.2
MARION GENERAL HOSPITAL,MARION,IN,heart failure,12.5
MARION GENERAL HOSPITAL,MARION,IN,pneumonia,13.2
SAINT JOSEPH REGIONAL MEDICAL CENTER,MISHAWAKA,IN,heart attack,16.2
SAINT JOSEPH REGIONAL MEDICAL CENTER,MISHAWAKA,IN,heart failure,12.6
SAINT JOSEPH REGIONAL MEDICAL CENTER,MISHAWAKA,IN,pneumonia,12.4
FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,MICHIGAN CITY,IN,heart attack,15.6
FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,MICHIGAN CITY,IN,heart failure,12.8
FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,MICHIGAN CITY,IN,pneumonia,12.1
LUTHERAN HOSPITAL OF INDIANA,FORT WAYNE,IN,heart attack,16.6
LUTHERAN HOSPITAL OF INDIANA,FORT WAYNE,IN,heart failure,12.1
LUTHERAN HOSPITAL OF INDIANA,FORT WAYNE,IN,pneumonia,11.6
ELKHART GENERAL HOSPITAL,ELKHART,IN,heart attack,14.3
ELKHART GENERAL HOSPITAL,ELKHART,IN,heart failure,12
ELKHART GENERAL HOSPITAL,ELKHART,IN,pneumonia,12.9
PARKVIEW REGIONAL MEDICAL CENTER,FORT WAYNE,IN,heart attack,18
PARKVIEW REGIONAL MEDICAL CENTER,FORT WAYNE,IN,heart failure,13.1
PARKVIEW REGIONAL MEDICAL CENTER,FORT WAYNE,IN,pneumonia,11.2
FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,CRAWFORDSVILLE,IN,heart attack,
FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,CRAWFORDSVILLE,IN,heart failure,14.2
FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,CRAWFORDSVILLE,IN,pneumonia,11.6
UNION HOSPITAL INC,TERRE HAUTE,IN,heart attack,15.9
UNION HOSPITAL INC,TERRE HAUTE,IN,heart failure,13.3
UNION HOSPITAL INC,TERRE HAUTE,IN,pneumonia,13.4
WILLIAM N WISHARD MEMORIAL HOSPITAL,INDIANAPOLIS,IN,heart attack,13.4
WILLIAM N WISHARD MEMORIAL HOSPITAL,INDIANAPOLIS,IN,heart failure,10.1
WILLIAM N WISHARD MEMORIAL HOSPITAL,INDIANAPOLIS,IN,pneumonia,9.3
IU HEALTH GOSHEN HOSPITAL,GOSHEN,IN,heart attack,15.6
IU HEALTH GOSHEN HOSPITAL,GOSHEN,IN,heart failure,13.9
IU HEALTH GOSHEN HOSPITAL,GOSHEN,IN,pneumonia,15.4
HENRY COUNTY MEMORIAL HOSPITAL,NEW CASTLE,IN,heart attack,15.6
HENRY COUNTY MEMORIAL HOSPITAL,NEW CASTLE,IN,heart failure,11.9
HENRY COUNTY MEMORIAL HOSPITAL,NEW CASTLE,IN,pneumonia,11.7
FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE,BEECH GROVE,IN,heart attack,15.9
FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE,BEECH GROVE,IN,heart failure,16.2
FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE,BEECH GROVE,IN,pneumonia,13.2
ST MARY MEDICAL CENTER INC,HOBART,IN,heart attack,17
ST MARY MEDICAL CENTER INC,HOBART,IN,heart failure,10.3
ST MARY MEDICAL CENTER INC,HOBART,IN,pneumonia,10.4
PORTER VALPARAISO HOSPITAL,VALPARAISO,IN,heart attack,14.8
PORTER VALPARAISO HOSPITAL,VALPARAISO,IN,heart failure,13.3
PORTER VALPARAISO HOSPITAL,VALPARAISO,IN,pneumonia,15.4
HANCOCK REGIONAL HOSPITAL,GREENFIELD,IN,heart attack,14.8
HANCOCK REGIONAL HOSPITAL,GREENFIELD,IN,heart failure,13.1
HANCOCK REGIONAL HOSPITAL,GREENFIELD,IN,pneumonia,12.4
INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC,MARTINSVILLE,IN,heart attack,16.3
INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC,MARTINSVILLE,IN,heart failure,12.9
INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC,MARTINSVILLE,IN,pneumonia,13
INDIANAPOLIS VA MEDICAL CENTER,INDIANAPOLIS                  ,IN,heart attack,15.9
INDIANAPOLIS VA MEDICAL CENTER,INDIANAPOLIS                  ,IN,heart failure,10.2
INDIANAPOLIS VA MEDICAL CENTER,INDIANAPOLIS                  ,IN,pneumonia,9.6
GOOD SAMARITAN HOSPITAL,VINCENNES,IN,heart attack,16.7
GOOD SAMARITAN HOSPITAL,VINCENNES,IN,heart failure,14.2
GOOD SAMARITAN HOSPITAL,VINCENNES,IN,pneumonia,10.9
FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES,NEW ALBANY,IN,heart attack,15.2
FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES,NEW ALBANY,IN,heart failure,10.3
FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES,NEW ALBANY,IN,pneumonia,11.3
DEKALB HEALTH,AUBURN,IN,heart attack,15.6
DEKALB HEALTH,AUBURN,IN,heart failure,13.8
DEKALB HEALTH,AUBURN,IN,pneumonia,12.2
TERRE HAUTE REGIONAL HOSPITAL,TERRE HAUTE,IN,heart attack,15.4
TERRE HAUTE REGIONAL HOSPITAL,TERRE HAUTE,IN,heart failure,10.2
TERRE HAUTE REGIONAL HOSPITAL,TERRE HAUTE,IN,pneumonia,12.4
ST JOSEPH HOSPITAL,FORT WAYNE,IN,heart attack,18
ST JOSEPH HOSPITAL,FORT WAYNE,IN,heart failure,11.7
ST JOSEPH HOSPITAL,FORT WAYNE,IN,pneumonia,13
REID HOSPITAL & HEALTH CARE SERVICES,RICHMOND,IN,heart attack,16
REID HOSPITAL & HEALTH CARE SERVICES,RICHMOND,IN,heart failure,12
REID HOSPITAL & HEALTH CARE SERVICES,RICHMOND,IN,pneumonia,9.6
VA N. INDIANA HEALTHCARE SYSTEM - MARION,MARION                        ,IN,heart attack,
VA N. INDIANA HEALTHCARE SYSTEM - MARION,MARION                        ,IN,heart failure,11.9
VA N. INDIANA HEALTHCARE SYSTEM - MARION,MARION                        ,IN,pneumonia,10.3
INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,BLOOMINGTON,IN,heart attack,14.7
INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,BLOOMINGTON,IN,heart failure,14.4
INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,BLOOMINGTON,IN,pneumonia,14
INDIANA UNIVERSITY HEALTH,INDIANAPOLIS,IN,heart attack,15.4
INDIANA UNIVERSITY HEALTH,INDIANAPOLIS,IN,heart failure,10.7
INDIANA UNIVERSITY HEALTH,INDIANAPOLIS,IN,pneumonia,8.7
FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE,MOORESVILLE,IN,heart attack,
FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE,MOORESVILLE,IN,heart failure,11.6
FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE,MOORESVILLE,IN,pneumonia,10.4
MEMORIAL HOSPITAL OF SOUTH BEND,SOUTH BEND,IN,heart attack,15.2
MEMORIAL HOSPITAL OF SOUTH BEND,SOUTH BEND,IN,heart failure,15
MEMORIAL HOSPITAL OF SOUTH BEND,SOUTH BEND,IN,pneumonia,14.2
RIVERVIEW HOSPITAL,NOBLESVILLE,IN,heart attack,16.8
RIVERVIEW HOSPITAL,NOBLESVILLE,IN,heart failure,15.3
RIVERVIEW HOSPITAL,NOBLESVILLE,IN,pneumonia,13
DAVIESS COMMUNITY HOSPITAL,WASHINGTON,IN,heart attack,13.8
DAVIESS COMMUNITY HOSPITAL,WASHINGTON,IN,heart failure,13.4
DAVIESS COMMUNITY HOSPITAL,WASHINGTON,IN,pneumonia,13.4
FAYETTE REGIONAL HEALTH SYSTEM,CONNERSVILLE,IN,heart attack,15.7
FAYETTE REGIONAL HEALTH SYSTEM,CONNERSVILLE,IN,heart failure,12.8
FAYETTE REGIONAL HEALTH SYSTEM,CONNERSVILLE,IN,pneumonia,11.4
SCHNECK MEDICAL CENTER,SEYMOUR,IN,heart attack,16.3
SCHNECK MEDICAL CENTER,SEYMOUR,IN,heart failure,13.4
SCHNECK MEDICAL CENTER,SEYMOUR,IN,pneumonia,13.1
"KING'S DAUGHTERS' HOSPITAL AND HEALTH SERVICES,THE",MADISON,IN,heart attack,15
"KING'S DAUGHTERS' HOSPITAL AND HEALTH SERVICES,THE",MADISON,IN,heart failure,13.8
"KING'S DAUGHTERS' HOSPITAL AND HEALTH SERVICES,THE",MADISON,IN,pneumonia,11.2
MEMORIAL HOSPITAL,LOGANSPORT,IN,heart attack,
MEMORIAL HOSPITAL,LOGANSPORT,IN,heart failure,14.2
MEMORIAL HOSPITAL,LOGANSPORT,IN,pneumonia,10.7
COMMUNITY HOSPITAL EAST,INDIANAPOLIS,IN,heart attack,15.6
COMMUNITY HOSPITAL EAST,INDIANAPOLIS,IN,heart failure,15.3
COMMUNITY HOSPITAL EAST,INDIANAPOLIS,IN,pneumonia,14.8
BLUFFTON REGIONAL MEDICAL CENTER,BLUFFTON,IN,heart attack,16.7
BLUFFTON REGIONAL MEDICAL CENTER,BLUFFTON,IN,heart failure,12.1
BLUFFTON REGIONAL MEDICAL CENTER,BLUFFTON,IN,pneumonia,14.9
SAINT JOSEPH'S REGIONAL MEDICAL CENTER - PLYMOUTH,PLYMOUTH,IN,heart attack,15.6
SAINT JOSEPH'S REGIONAL MEDICAL CENTER - PLYMOUTH,PLYMOUTH,IN,heart failure,13.3
SAINT JOSEPH'S REGIONAL MEDICAL CENTER - PLYMOUTH,PLYMOUTH,IN,pneumonia,12.4
DEACONESS HOSPITAL INC,EVANSVILLE,IN,heart attack,15.7
DEACONESS HOSPITAL INC,EVANSVILLE,IN,heart failure,11.3
DEACONESS HOSPITAL INC,EVANSVILLE,IN,pneumonia,12.1
ST VINCENT HOSPITAL & HEALTH SERVICES,INDIANAPOLIS,IN,heart attack,14.5
ST VINCENT HOSPITAL & HEALTH SERVICES,INDIANAPOLIS,IN,heart failure,11.1
ST VINCENT HOSPITAL & HEALTH SERVICES,INDIANAPOLIS,IN,pneumonia,10.5
DEARBORN COUNTY HOSPITAL,LAWRENCEBURG,IN,heart attack,14.9
DEARBORN COUNTY HOSPITAL,LAWRENCEBURG,IN,heart failure,13.8
DEARBORN COUNTY HOSPITAL,LAWRENCEBURG,IN,pneumonia,12.7
SAINT JOHN'S HEALTH SYSTEM,ANDERSON,IN,heart attack,15.1
SAINT JOHN'S HEALTH SYSTEM,ANDERSON,IN,heart failure,13.3
SAINT JOHN'S HEALTH SYSTEM,ANDERSON,IN,pneumonia,11.6
INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,MUNCIE,IN,heart attack,14.5
INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,MUNCIE,IN,heart failure,13
INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,MUNCIE,IN,pneumonia,12.2
FRANCISCAN ST MARGARET HEALTH - DYER,DYER,IN,heart attack,16.1
FRANCISCAN ST MARGARET HEALTH - DYER,DYER,IN,heart failure,8.6
FRANCISCAN ST MARGARET HEALTH - DYER,DYER,IN,pneumonia,11.7
PARKVIEW HUNTINGTON HOSPITAL,HUNTINGTON,IN,heart attack,
PARKVIEW HUNTINGTON HOSPITAL,HUNTINGTON,IN,heart failure,11.2
PARKVIEW HUNTINGTON HOSPITAL,HUNTINGTON,IN,pneumonia,11.5
MAJOR HOSPITAL,SHELBYVILLE,IN,heart attack,
MAJOR HOSPITAL,SHELBYVILLE,IN,heart failure,12.4
MAJOR HOSPITAL,SHELBYVILLE,IN,pneumonia,10.5
ST MARY'S MEDICAL CENTER OF EVANSVILLE INC,EVANSVILLE,IN,heart attack,14.4
ST MARY'S MEDICAL CENTER OF EVANSVILLE INC,EVANSVILLE,IN,heart failure,11.1
ST MARY'S MEDICAL CENTER OF EVANSVILLE INC,EVANSVILLE,IN,pneumonia,10.7
PARKVIEW WHITLEY HOSPITAL,COLUMBIA CITY,IN,heart attack,
PARKVIEW WHITLEY HOSPITAL,COLUMBIA CITY,IN,heart failure,11.5
PARKVIEW WHITLEY HOSPITAL,COLUMBIA CITY,IN,pneumonia,13.3
INDIANA UNIVERSITY HEALTH STARKE HOSPITAL,KNOX,IN,heart attack,
INDIANA UNIVERSITY HEALTH STARKE HOSPITAL,KNOX,IN,heart failure,12.6
INDIANA UNIVERSITY HEALTH STARKE HOSPITAL,KNOX,IN,pneumonia,14.8
WITHAM HEALTH SERVICES,LEBANON,IN,heart attack,14.3
WITHAM HEALTH SERVICES,LEBANON,IN,heart failure,12.7
WITHAM HEALTH SERVICES,LEBANON,IN,pneumonia,10.5
FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST,LAFAYETTE,IN,heart attack,12.3
FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST,LAFAYETTE,IN,heart failure,10
FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST,LAFAYETTE,IN,pneumonia,11.7
COLUMBUS REGIONAL HOSPITAL,COLUMBUS,IN,heart attack,16.4
COLUMBUS REGIONAL HOSPITAL,COLUMBUS,IN,heart failure,9.8
COLUMBUS REGIONAL HOSPITAL,COLUMBUS,IN,pneumonia,10.2
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,ANDERSON,IN,heart attack,15.8
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,ANDERSON,IN,heart failure,12.7
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,ANDERSON,IN,pneumonia,11.4
MEMORIAL HOSPITAL AND HEALTH CARE CENTER,JASPER,IN,heart attack,14.3
MEMORIAL HOSPITAL AND HEALTH CARE CENTER,JASPER,IN,heart failure,11.7
MEMORIAL HOSPITAL AND HEALTH CARE CENTER,JASPER,IN,pneumonia,11.4
COMMUNITY HOSPITAL,MUNSTER,IN,heart attack,14.8
COMMUNITY HOSPITAL,MUNSTER,IN,heart failure,9.5
COMMUNITY HOSPITAL,MUNSTER,IN,pneumonia,12.1
FRANCISCAN ST ANTHONY HEALTH - CROWN POINT,CROWN POINT,IN,heart attack,17.9
FRANCISCAN ST ANTHONY HEALTH - CROWN POINT,CROWN POINT,IN,heart failure,12.5
FRANCISCAN ST ANTHONY HEALTH - CROWN POINT,CROWN POINT,IN,pneumonia,13
COMMUNITY HOSPITAL SOUTH,INDIANAPOLIS,IN,heart attack,13.6
COMMUNITY HOSPITAL SOUTH,INDIANAPOLIS,IN,heart failure,10.3
COMMUNITY HOSPITAL SOUTH,INDIANAPOLIS,IN,pneumonia,9.9
WESTVIEW HOSPITAL,INDIANAPOLIS,IN,heart attack,
WESTVIEW HOSPITAL,INDIANAPOLIS,IN,heart failure,11.1
WESTVIEW HOSPITAL,INDIANAPOLIS,IN,pneumonia,9.8
KOSCIUSKO COMMUNITY HOSPITAL,WARSAW,IN,heart attack,17.1
KOSCIUSKO COMMUNITY HOSPITAL,WARSAW,IN,heart failure,12.3
KOSCIUSKO COMMUNITY HOSPITAL,WARSAW,IN,pneumonia,13.8
PARKVIEW NOBLE HOSPITAL,KENDALLVILLE,IN,heart attack,
PARKVIEW NOBLE HOSPITAL,KENDALLVILLE,IN,heart failure,11.3
PARKVIEW NOBLE HOSPITAL,KENDALLVILLE,IN,pneumonia,12
WOMEN'S HOSPITAL THE,NEWBURGH,IN,heart attack,
WOMEN'S HOSPITAL THE,NEWBURGH,IN,heart failure,
WOMEN'S HOSPITAL THE,NEWBURGH,IN,pneumonia,
DUPONT HOSPITAL LLC,FORT WAYNE,IN,heart attack,
DUPONT HOSPITAL LLC,FORT WAYNE,IN,heart failure,10.9
DUPONT HOSPITAL LLC,FORT WAYNE,IN,pneumonia,12.6
ST VINCENT HEART CENTER OF INDIANA LLC,INDIANAPOLIS,IN,heart attack,11.5
ST VINCENT HEART CENTER OF INDIANA LLC,INDIANAPOLIS,IN,heart failure,8.2
ST VINCENT HEART CENTER OF INDIANA LLC,INDIANAPOLIS,IN,pneumonia,11.2
INDIANA HEART HOSPITAL THE,INDIANAPOLIS,IN,heart attack,15.6
INDIANA HEART HOSPITAL THE,INDIANAPOLIS,IN,heart failure,10.4
INDIANA HEART HOSPITAL THE,INDIANAPOLIS,IN,pneumonia,11.2
ST VINCENT CARMEL HOSPITAL INC,CARMEL,IN,heart attack,
ST VINCENT CARMEL HOSPITAL INC,CARMEL,IN,heart failure,11.8
ST VINCENT CARMEL HOSPITAL INC,CARMEL,IN,pneumonia,11.7
IU HEALTH WEST HOSPITAL,AVON,IN,heart attack,13.8
IU HEALTH WEST HOSPITAL,AVON,IN,heart failure,9.4
IU HEALTH WEST HOSPITAL,AVON,IN,pneumonia,9
INDIANA ORTHOPAEDIC HOSPITAL LLC,INDIANAPOLIS,IN,heart attack,
INDIANA ORTHOPAEDIC HOSPITAL LLC,INDIANAPOLIS,IN,heart failure,
INDIANA ORTHOPAEDIC HOSPITAL LLC,INDIANAPOLIS,IN,pneumonia,
INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,CARMEL,IN,heart attack,15.4
INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,CARMEL,IN,heart failure,11.2
INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,CARMEL,IN,pneumonia,10.4
FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,INDIANAPOLIS,IN,heart attack,14.5
FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,INDIANAPOLIS,IN,heart failure,12.2
FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,INDIANAPOLIS,IN,pneumonia,9.8
SAINT CATHERINE REGIONAL HOSPITAL,CHARLESTOWN,IN,heart attack,
SAINT CATHERINE REGIONAL HOSPITAL,CHARLESTOWN,IN,heart failure,13.5
SAINT CATHERINE REGIONAL HOSPITAL,CHARLESTOWN,IN,pneumonia,12
MONROE HOSPITAL,BLOOMINGTON,IN,heart attack,
MONROE HOSPITAL,BLOOMINGTON,IN,heart failure,10.5
MONROE HOSPITAL,BLOOMINGTON,IN,pneumonia,11.1
FRANCISCAN PHYSICIANS HOSPITAL LLC,MUNSTER,IN,heart attack,
FRANCISCAN PHYSICIANS HOSPITAL LLC,MUNSTER,IN,heart failure,12.8
FRANCISCAN PHYSICIANS HOSPITAL LLC,MUNSTER,IN,pneumonia,10.7
PINNACLE HOSPITAL,CROWN POINT,IN,heart attack,
PINNACLE HOSPITAL,CROWN POINT,IN,heart failure,11.4
PINNACLE HOSPITAL,CROWN POINT,IN,pneumonia,10.8
ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,FORT WAYNE,IN,heart attack,
ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,FORT WAYNE,IN,heart failure,
ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,FORT WAYNE,IN,pneumonia,
THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,FT WAYNE,IN,heart attack,
THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,FT WAYNE,IN,heart failure,
THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,FT WAYNE,IN,pneumonia,
COMMUNITY HOSPITAL NORTH,INDIANAPOLIS,IN,heart attack,17.8
COMMUNITY HOSPITAL NORTH,INDIANAPOLIS,IN,heart failure,14.6
COMMUNITY HOSPITAL NORTH,INDIANAPOLIS,IN,pneumonia,10.9
PHYSICIANS' MEDICAL CENTER LLC,NEW ALBANY,IN,heart attack,
PHYSICIANS' MEDICAL CENTER LLC,NEW ALBANY,IN,heart failure,
PHYSICIANS' MEDICAL CENTER LLC,NEW ALBANY,IN,pneumonia,
INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,LAFAYETTE,IN,heart attack,16.7
INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,LAFAYETTE,IN,heart failure,12.5
INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,LAFAYETTE,IN,pneumonia,10.5
THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,NEWBURGH,IN,heart attack,15.2
THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,NEWBURGH,IN,heart failure,12.9
THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,NEWBURGH,IN,pneumonia,
KENTUCKIANA MEDICAL CENTER LLC,CLARKSVILLE,IN,heart attack,
KENTUCKIANA MEDICAL CENTER LLC,CLARKSVILLE,IN,heart failure,9.8
KENTUCKIANA MEDICAL CENTER LLC,CLARKSVILLE,IN,pneumonia,10.7
UNITY MEDICAL AND SURGICAL HOSPITAL,MISHAWAKA,IN,heart attack,
UNITY MEDICAL AND SURGICAL HOSPITAL,MISHAWAKA,IN,heart failure,
UNITY MEDICAL AND SURGICAL HOSPITAL,MISHAWAKA,IN,pneumonia,
CANCER CARE PARTNERS LLC,MISHAWAKA,IN,heart attack,
CANCER CARE PARTNERS LLC,MISHAWAKA,IN,heart failure,
